," [Z1Light , false]"," [Z1Light , true]"," [Z2Light , false]"," [Z2Light , true]"," [Z1Blinds , false] ","[Z1Blinds , true]","[Z2Blinds , false]","[Z2Blinds , true]"
210010,0,0,0,0,0,0,0,0
210011,0,0,0,0,0,0,0,0
210012,0,0,0,0,0,0,0,0
210013,0,0,0,0,0,0,0,0
210100,0,0,0,0,0,0,0,0
210101,0,0,0,0,0,0,0,0
210102,0,0,0,0,0,0,0,0
210103,0,0,0,0,0,0,0,0
210110,0,0,0,0,0,0,0,0
210111,0,0,0,0,0,0,0,0
210112,0,0,0,0,0,0,0,0
210113,0,0,0,0,0,0,0,0
211000,0,0,0,0,0,0,0,0
211001,0,0,0,0,0,0,0,0
211002,0,0,0,0,0,0,0,0
211003,0,0,0,0,0,0,0,0
211010,0,0,0,0,0,0,0,0
211011,0,0,0,0,0,0,0,0
211012,0,0,0,0,0,0,0,0
211013,0,0,0,0,0,0,0,0
211100,0,0,0,0,0,0,0,0
211101,0,0,0,0,0,0,0,0
211102,0,0,0,0,0,0,0,0
211103,0,0,0,0,0,0,0,0
211110,0,0,0,0,0,0,0,0
211111,0,0,0,0,0,0,0,0
211112,0,0,0,0,0,0,0,0
211113,0,0,0,0,0,0,0,0
300000,0,0,0,0,0,0,0,0
300001,0,0,0,0,0,0,0,0
300002,0,0,0,0,0,0,0,0
300003,0,0,0,0,0,0,0,0
300010,0,0,0,0,0,0,0,0
300011,0,0,0,0,0,0,0,0
300012,0,0,0,0,0,0,0,0
300013,0,0,0,0,0,0,0,0
300100,0,0,0,0,0,0,0,0
300101,0,0,0,0,0,0,0,0
300102,0,0,0,0,0,0,0,0
300103,0,0,0,0,0,0,0,0
300110,0,0,0,0,0,0,0,0
300111,0,0,0,0,0,0,0,0
300112,0,0,0,0,0,0,0,0
300113,0,0,0,0,0,0,0,0
301000,0,0,0,0,0,0,0,0
301001,0,0,0,0,0,0,0,0
301002,0,0,0,0,0,0,0,0
301003,0,0,0,0,0,0,0,0
301010,0,0,0,0,0,0,0,0
301011,0,0,0,0,0,0,0,0
301012,0,0,0,0,0,0,0,0
301013,0,0,0,0,0,0,0,0
301100,0,0,0,0,0,0,0,0
301101,0,0,0,0,0,0,0,0
301102,0,0,0,0,0,0,0,0
301103,0,0,0,0,0,0,0,0
301110,0,0,0,0,0,0,0,0
301111,0,0,0,0,0,0,0,0
301112,0,0,0,0,0,0,0,0
301113,0,0,0,0,0,0,0,0
310000,0,0,0,0,0,0,0,0
310001,0,0,0,0,0,0,0,0
310002,0,0,0,0,0,0,0,0
310003,0,0,0,0,0,0,0,0
310010,0,0,0,0,0,0,0,0
310011,0,0,0,0,0,0,0,0
310012,0,0,0,0,0,0,0,0
310013,0,0,0,0,0,0,0,0
310100,0,0,0,0,0,0,0,0
310101,0,0,0,0,0,0,0,0
310102,0,0,0,0,0,0,0,0
310103,0,0,0,0,0,0,0,0
310110,0,0,0,0,0,0,0,0
310111,0,0,0,0,0,0,0,0
310112,0,0,0,0,0,0,0,0
310113,0,0,0,0,0,0,0,0
311000,0,0,0,0,0,0,0,0
311001,0,0,0,0,0,0,0,0
311002,0,0,0,0,0,0,0,0
311003,0,0,0,0,0,0,0,0
311010,0,0,0,0,0,0,0,0
